,ROUTEID,FROMMEASURE,TOMEASURE,XCOORD,YCOORD,ADDTOGIS,ARMSTYLE_DESC,ASSETSTATUS_DESC,ASSETTYPE,FACILITYID,LIGHTTYPE_DESC,POLEHEIGHT_DESC,STREETLIGHTID,WATTAGE1,MAXTEMP,HUMIDITY,WINDSPEED,date_timestamp,day,month,year
3759,11004202,1661.908093,1709.377192,392521,141728,2007/06/29 00:00:00+00,Simple WP,Active,1,33130DC,INC-Incandescent,35 ft,33130DC,295,23.340246,50.378002,6.725354,2007-06-29 00:00:00+00:00,29,6,2007
3760,11034972,564.7267213,595.8601317,391943,142092,2007/07/01 00:00:00+00,Regular Alley,Active,2,36132DC,HPS-High Pressure Sodium,35 ft,36132DC,70,23.230246,50.74898,9.6932955,2007-07-01 00:00:00+00:00,1,7,2007
3761,15065322,5715.778823,5775.983118,391708,142009,2007/07/07 00:00:00+00,Regular Alley,Active,2,3F287DC,HPS-High Pressure Sodium,35 ft,3F287DC,70,23.400246,49.015217,10.239453,2007-07-07 00:00:00+00:00,7,7,2007
3762,11034972,595.8601317,639.409125,392479,142322,2007/06/28 00:00:00+00,Simple WP,Active,1,31588DC,INC-Incandescent,35 ft,31588DC,295,23.240246,49.13441,9.779817,2007-06-28 00:00:00+00:00,28,6,2007
3763,11051352,1678.396,1759.8,392373,142221,2007/06/27 00:00:00+00,WP Arm with Guy,Active,1,31659DC,HPS-High Pressure Sodium,35 ft,31659DC,150,22.480246,51.530056,9.6932955,2007-06-27 00:00:00+00:00,27,6,2007
3764,11022552,0,213.3721414,391921,142834,2007/06/29 00:00:00+00,WP Arm with Guy,Active,1,31454DC,HPS-High Pressure Sodium,35 ft,31454DC,100,21.550245,53.01853,8.699793,2007-06-29 00:00:00+00:00,29,6,2007
3765,11034972,639.409125,685.6795862,391568,142602,2007/07/03 00:00:00+00,Regular Alley,Active,2,3F229DC,HPS-High Pressure Sodium,35 ft,3F229DC,70,20.170246,61.649952,8.557102,2007-07-03 00:00:00+00:00,3,7,2007
3766,11000502,4236.021691,4304.786507,393861,143087,2007/07/10 00:00:00+00,Wood pole Truss,Active,1,34703DC,HPS-High Pressure Sodium,35 ft,34703DC,250,19.560246,64.80137,6.989936,2007-07-10 00:00:00+00:00,10,7,2007
3767,11034972,0,40.23039093,392531,138198,2007/06/20 00:00:00+00,Simple WP,Active,1,35884DC,HPS-High Pressure Sodium,35 ft,35884DC,100,17.780245,77.08128,2.8799999,2007-06-20 00:00:00+00:00,20,6,2007
3768,11034972,685.6795862,807.7501233,395542,142262,2007/07/04 00:00:00+00,WP Arm with Guy,Active,1,39775DC,HPS-High Pressure Sodium,35 ft,39775DC,150,17.260244,83.70805,2.1897945,2007-07-04 00:00:00+00:00,4,7,2007
3769,11034972,807.7501233,849.7831919,395529,142150,2007/07/04 00:00:00+00,WP Arm with Guy,Active,1,39778DC,HPS-High Pressure Sodium,35 ft,39778DC,250,16.930244,86.04087,5.3517847,2007-07-04 00:00:00+00:00,4,7,2007
3770,12000632,557.6457478,591.2980981,395526,142115,2007/07/04 00:00:00+00,Simple WP,Active,1,39779DC,HPS-High Pressure Sodium,35 ft,39779DC,150,16.340246,89.63434,4.198285,2007-07-04 00:00:00+00:00,4,7,2007
3771,12034772,291.0537,328.6769199,395536,142037,2007/07/04 00:00:00+00,WP Arm with Guy,Active,1,39781DC,HPS-High Pressure Sodium,35 ft,39781DC,150,15.830245,91.717026,4.3349743,2007-07-04 00:00:00+00:00,4,7,2007
3772,12034772,328.6769199,448.6601531,394952,142532,2007/07/03 00:00:00+00,WP Arm with Guy,Active,1,39714DC,HPS-High Pressure Sodium,35 ft,39714DC,100,15.640245,91.05121,2.5455842,2007-07-03 00:00:00+00:00,3,7,2007
3773,12078192,875.8248419,952.1548912,394829,142539,2007/07/03 00:00:00+00,Simple WP,Active,2,39711DC,HPS-High Pressure Sodium,35 ft,39711DC,250,15.400246,92.04909,4.896529,2007-07-03 00:00:00+00:00,3,7,2007
3774,11024502,829.6702479,1008.77977,394838,142669,2007/07/03 00:00:00+00,WP Arm with Guy,Active,1,39725DC,HPS-High Pressure Sodium,35 ft,39725DC,100,14.960245,93.23194,4.73506,2007-07-03 00:00:00+00:00,3,7,2007
3775,11000702,4264.951055,4383.571421,394916,142683,2007/07/03 00:00:00+00,WP Arm with Guy,Active,1,39727DC,HPS-High Pressure Sodium,35 ft,39727DC,100,15.230246,92.15886,4.0249224,2007-07-03 00:00:00+00:00,3,7,2007
3776,11034972,849.7831919,887.7134617,403278,134157,2007/04/11 00:00:00+00,WP Arm with Guy,Active,1,78367DC,HPS-High Pressure Sodium,35 ft,78367DC,250,15.600245,88.76224,2.968636,2007-04-11 00:00:00+00:00,11,4,2007
3777,12001332,850.4562911,886.08246,404015,134006,2007/04/06 00:00:00+00,Simple WP,Active,1,77662DC,LED-Light Emitting Diode,35 ft,77662DC,75,16.630245,82.873566,7.5170207,2007-04-06 00:00:00+00:00,6,4,2007
3778,11034972,887.7134617,924.6076461,406276,134995,2007/04/05 00:00:00+00,WP Arm with Guy,Active,1,75342DC,HPS-High Pressure Sodium,35 ft,75342DC,250,17.710245,75.91933,10.308831,2007-04-05 00:00:00+00:00,5,4,2007
3779,11034972,924.6076461,958.6672427,406046,134625,2007/04/06 00:00:00+00,Wood pole Truss,Active,1,75467DC,HPS-High Pressure Sodium,35 ft,75467DC,400,18.660246,69.65082,10.483357,2007-04-06 00:00:00+00:00,6,4,2007
3780,11034972,958.6672427,999.3133964,394839,142978,2007/07/03 00:00:00+00,Simple WP,Active,1,39655DC,HPS-High Pressure Sodium,35 ft,39655DC,100,19.590246,70.33509,9.114471,2007-07-03 00:00:00+00:00,3,7,2007
3781,11034972,999.3133964,1027.623782,394709,142933,2007/07/03 00:00:00+00,WP Arm with Guy,Active,1,39651DC,HPS-High Pressure Sodium,35 ft,39651DC,100,19.690245,69.85206,9.904906,2007-07-03 00:00:00+00:00,3,7,2007
3782,11000802,3537.314,3601.309,391967,142870,2007/07/03 00:00:00+00,WP Arm with Guy,Active,1,3F144DC,HPS-High Pressure Sodium,35 ft,3F144DC,100,19.280245,72.36774,9.504273,2007-07-03 00:00:00+00:00,3,7,2007
3783,12034772,0,247.9338226,392140,143121,2007/07/02 00:00:00+00,WP Arm with Guy,Active,1,31320DC,HPS-High Pressure Sodium,35 ft,31320DC,250,20.230246,65.71686,8.311245,2007-07-02 00:00:00+00:00,2,7,2007
3784,11034972,1027.623782,1071.294296,390672,140431,2007/06/15 00:00:00+00,Simple WP,Active,1,33766DC,INC-Incandescent,35 ft,33766DC,295,20.170246,62.921,12.522619,2007-06-15 00:00:00+00:00,15,6,2007
3785,11047902,1236.544787,1264.777716,391416,139777,2007/06/16 00:00:00+00,Simple WP,Active,1,34071DC,INC-Incandescent,35 ft,34071DC,295,19.700245,64.746826,14.759999,2007-06-16 00:00:00+00:00,16,6,2007
3786,11034972,1071.294296,1093.474459,391816,141519,2007/06/19 00:00:00+00,Simple WP,Active,1,34148DC,INC-Incandescent,35 ft,34148DC,295,19.910246,60.579845,14.830076,2007-06-19 00:00:00+00:00,19,6,2007
3787,11034972,1093.474459,1106.425583,396281,138669,2007/07/23 00:00:00+00,Regular Alley,Active,2,26979DC,HPS-High Pressure Sodium,35 ft,26979DC,100,20.160246,57.469994,12.620554,2007-07-23 00:00:00+00:00,23,7,2007
3788,11034972,1106.425583,1148.090464,404603,133430,2007/04/08 00:00:00+00,Wood pole Truss,Active,1,77912DC,HPS-High Pressure Sodium,35 ft,77912DC,250,19.940245,57.37698,9.422101,2007-04-08 00:00:00+00:00,8,4,2007
3789,11034972,1148.090464,1189.40065,404411,133717,2007/04/07 00:00:00+00,Wood pole Truss,Active,1,77788DC,LED-Light Emitting Diode,35 ft,77788DC,70,18.420246,63.82461,6.379216,2007-04-07 00:00:00+00:00,7,4,2007
3790,11000902,4882.980969,5001.719202,403052,133616,2007/04/10 00:00:00+00,WP Arm with Guy,Active,1,78261DC,HPS-High Pressure Sodium,35 ft,78261DC,250,16.700245,70.9419,6.1305785,2007-04-10 00:00:00+00:00,10,4,2007
3791,11034972,1189.40065,1248.747417,403220,134353,2007/04/11 00:00:00+00,Regular Alley,Active,2,78357DC,LED-Light Emitting Diode,35 ft,78357DC,30,15.760245,72.63095,6.1305785,2007-04-11 00:00:00+00:00,11,4,2007
